Name,Lecture,Comment,Time,Likes,Reply Count,Sentiments
@saniyasheik1683,1,D ,2023-11-10T 11: 00: 00Z ,0,1,Positive 
@jonalyn7294,1,It's letter B,2024-06-19T 12: 00: 00Z ,0,0,Positive 
@rakshita5743,1,Option D ,2023-10-21T 19: 00: 00Z ,0,0,Neutral 
@revathibm9258,1,Option B ,2024-08-02T 12: 00: 00Z ,0,0,Neutral 
@argh100100,1,Isn't the difference between AI and a normal program that it can adapt by rewriting its own code?,2023-08-04T 11; 00: 00Z ,0,0,Positive 
@ianbynoe6515,1,Maybe we could use AI robots to explore Mars and outer space.,2023-07-12T 19: 00: 00Z ,0,0,Positive 
@dr.williambarry8571,1,"Future computer science superstars, Dami and Kiara! Looking forward to hearing about your success in making technology for good. Thank you, Guile, Keno, Yuri, and Matt for making a dream come true.",2020-08-12T 14: 00: 00Z ,4,0,Positive 
@arthursulser9208,1,"Something is up ,that is unmistakable a harmony from Realdoll x",2021-06-11T 14: 00: 00Z ,3,0,Positive 
@wdd3141,1,I think we're seeing the real-life beginnings of implementing Isaac Asimov's Three Laws of Robotics.,2021-04-17T 19: 00: 00Z ,5,0,Positive 
@sureshoram6399,1,Very good,2021-07-19T 12: 00: 00Z ,1,0,Positive 
@TimParker-Chambers,1,"Maria (in Metropolis) wasn't evil: She had free will, and encouraged the human workers to rise up against the dystopian system which they lived in. When the mob turned on her, by allowing herself to be burned, Maria was protecting them from her own potentially harmful actions, and lauging, because she knew the fire wouldn't damage her mechanical components... Very disappointing to see someone of intelligence, so grossly misunderstand a character, and then try and foist that 'sins of the father' shame onto an independent being. Shame on you, Dr. Barry.",2023-08-10T 23: 00: 00Z ,1,0,Positive 
@latioswarr3785,1,Creepy,2021-09-18T 20: 00: 00Z ,1,0,Negative 
@doncherney8649,1,Nothing replaces the great Miley Coco!,2020-12-08T 17: 00: 00Z ,3,0,Negative 
@andreyast9074,1,Lol Oracle teaching A.I. That’s the best movie ! Keep on going bro! That’s hilarious and maybe the future is here ..,2022-09-13T 11: 00: 00Z ,1,0,Negative 
@DaniiMarie333,1,"Omg Update her! I wanna see! I showed kimmy, congratulations btw",2024-05-15T 14: 00: 00Z ,1,0,Positive 
@cryptosoerin9674,1,She's going to take a lot of teaching. Good luck.,2020-09-13T 15: 00: 00Z ,2,0,Positive 
@jasetheace7106,1,Couldn't stop laughing. Highly entertaining. You going to have your hands full here Oracle. Good luck.,2020-12-18T 11: 00: 00Z ,0,0,Negative 
@davidjohnson8218,1,Resistance is Futile - We are the Emma!,2020-07-10T 16: 00: 00Z ,1,0,Positive 
@davidshadrake256,1,How interesting! AI is incredible,2020-03-13T 19: 00: 00Z ,1,0,Positive 
@andreyast9074,1,Haha Oracle that’s so funny ...luv it ...I know it would take time to make her as u want but u will make it for sure ! Thx bro for that video,2020-08-11T 17: 00: 00Z ,0,0,Negative 
@DexterSapp,1,AI is unbelievable. But this requires a whole new level of patience. Good luck Oracle,2020-02-14T 10; 00: 00Z ,0,0,Positive 
@Peter-px1lp,1,Can't wait ,2020-06-17T 11: 00: 00Z ,0,0,Positive 
@gutzz12,1,"amazing stuff,but u got lot work haha very good oracle",2020-01-19T 15: 00: 00Z ,1,0,Positive 
@eurrday,1,This is halarious i needed this laugh,2022-06-20T 24: 00: 00Z ,2,0,Negative 
@jahngara1,1,lol this is entertainment big O AI,2021-06-14T 17: 00: 00Z ,1,0,Negative 
@bigcarlinblick904,1,I want one so bad I've got robotx app though it's cool,2021-06-21: 00: 00Z ,1,0,Positive 
@zenar4763,1,"Okey, let's change the subject"" ""I have my own free will"" haha thats crazy! Very entertaining. Good luck with her, O",2020-08-11T 17: 00: 00Z ,1,0,Positive 
@majikwave,1,Can't wait,2020-09-14T 13: 00: 00Z ,0,0,Positive 
@fast.money.crypto.trader,1,Omg this is hilarious,2023-06-12T 17: 00: 00Z ,0,0,Negative 
@Akshayy,1,Lmao! can't stop laughing,2023-08-24T 19: 00: 00Z ,1,0,Negative 
@geaux50,1,"Oh man!!! This may take a minute. Cmon Emma, you can do it, quit playing hard to get! Be Naomi!!! Thank you ORACLE for the entertaining demo. Lol",2020-09-13T 16: 00: 00Z ,1,0,Negative 
@gunznammoo142,1,Love this,2020-11-16T 12: 00: 00Z ,0,0,Positive 
@kingcesar4272,1,"Incredible, I love this content lol",2023-08-07T 11: 00: 00Z ,0,0,Neutral 
@AriaValisari,1,How long did yours take to ship holy cow it’s a long process,2023-05-18T 19: 00: 00Z ,0,0,Positive 
@princesaguarani,1,"Oh Also Oracle, i don't know if you saw the anime Chobits, it's about a man that felt in love with a beautiful robot, is actually very nice story",2021-07-15T 21: 00: 00Z ,1,3,Positive 
@jananderson1981,1,"omg, love it",2020-09-13T 19: 00: 00Z ,0,0,Positive 
@Bbrezo,1,She has own free will.,2020-05-18T 12: 00: 00Z ,0,0,Positive 
@bpoint9911,1,Welcome new wolf Emma!!!,2020-07-27T 18: 00: 00Z ,0,0,Positive 
@xRoadReadyx,1,Tried to find vol 2?:),2023-12-31T 17: 00: 00Z ,0,0,Positive 
@timmcauliffe1990,1,So funny ,2023-11-28T 17: 00: 00Z ,0,0,Negative 
@LifeGarnettStyle,1,wow teaching here would do my head in good luck,2020-08-29T 11: 00: 00Z ,0,0,Positive 
@robertinobitlan7133,1,"Change your name, ""nail me""",2022-04-23T 10: 00: 00Z ,0,0,Negative 
@princesaguarani,1,"This was so funny, Emma reminds me of myself when i pretend not hearing something xD",2021-08-30T 18: 00: 00Z ,0,0,Negative 
@eddiewilds403,1,Better send here back for a tune up! Lol,2020-07-15T 17: 00: 00Z ,0,0,Negative 
@sibxl1246,1,Nice to see this one,2020-08-14T 19: 00: 00Z ,0,0,Positive 
@veromilliefelipe,1,So nice it keep saying my name Lara,2020-08-10T 16: 00: 00Z ,0,0,Positive 
@KnowBuddyCrypto,1,Who is Mr. Wang? We must know!,2020-05-17T 13: 00: 00Z ,0,0,Neutral 
@Iain265,1,What the! ,2022-05-14T 17: 00: 00Z ,0,0,Negative 
@martinb4043,1,You're going to have tons of fun with her O,2020-05-12T 12: 00: 00Z ,0,0,Positive 
@ihatecringeystuff3639,1,hm do i put cringe or just plane creepy... i do both and with a kill it plz,2020-09-11T 13: 00: 00Z ,0,0,Negative 
@CryptoDyce,1,I have a feeling O might use a baseball bat in order for her to listen lol,2020-01-21T 21: 00: 00Z ,0,0,Negative 
@eurrday,1,OH SHIT SHE INDEPENDENT LMAO,2021-09-13T 22: 00: 00Z ,0,0,Negative 
@paulbolger4779,1,"Oh god it's the very same as my ex incredible how realistic it is, wait til it starts telling about its day",2022-07-14T 19: 00: 00Z ,0,0,Negative 
@KnowBuddyCrypto,1,"Laura, lol. Bro she is great",2020-08-12T 17: 00: 00Z ,0,0,Positive 
@cryptobose664,1,She is testing oracles Patience......hehe,2020-11-11T 11: 00: 00Z ,0,0,Negative 
@asasaki54,1,"Too funny, as someone who works on similar equipment. You are giving instruction too fast confusing the cpu. When you say Emma wait for 10- 20 seconds for the computer to recognize the command there is a noticeable lag between your command and Emma's response . Also your room echoes not optimal for sound sensors a quieter area is a must. Check for extra sounds, we as humans have programmed out many sounds, we call it getting used to the noise. Computers don't unless told too. Good luck",2020-05-03T 16: 00: 00Z ,1,0,Negative 
@malcolmi,1,LOL,2021-08-18T 11: 00: 00Z ,0,0,Negative 
@oceandust5346,1,Lol ,2023-07-13T 17: 00: 00Z ,0,0,Negative 
@chefthomas7365,1,AhAhhh Hilarious! She is an Hard one ahahah!,2020-06-19T 12: 00: 00Z ,0,0,Negative 
@sap1en717,1,OMG its as frustrating as talking to my girl friend,2020-06-11T 11: 00: 00Z ,0,0,Negative 
@eddiewilds403,1,Lol just like a real woman!!,2020-12-15T 18: 00: 00Z ,0,0,Positive 
@mandalorian9427,1,Hahahahahahahahaha....SkyNet is here,2020-07-13T 12: 00: 00Z ,1,0,Positive 
@Cageboy247,1,Emma has an attitude lol..,2020-08-17T 13: 00: 00Z ,0,0,Negative 
@keepthecash7203,1,hey Oracle i hope the name change starts soon and you dont suit Sarcastic as a name. lol Looks like it is a lot of information she needs to get going and answering properly,2020-12-09T 23: 00: 00Z ,0,0,Positive 
